Indicator,Year,Geography,fips,Cases,Rate per 100000
HIV prevalence,2022,"Abbeville County, SC",45001,50,237.1
HIV prevalence,2022,"Acadia Parish, LA",22001,144,310.2
HIV prevalence,2022,"Accomack County, VA",51001,113,396.5
HIV prevalence,2022,"Ada County, ID",16001,237,53.7
HIV prevalence,2022,"Adair County, IA",19001,Data suppressed,Data suppressed
HIV prevalence,2022,"Adair County, KY",21001,21,127.6
HIV prevalence,2022,"Adair County, MO",29001,19,86.6
HIV prevalence,2022,"Adair County, OK",40001,15,95.1
HIV prevalence,2022,"Adams County, CO",8001,"1,298",297.6
HIV prevalence,2022,"Adams County, IA",19003,0,0.0
HIV prevalence,2022,"Adams County, ID",16003,0,0.0
HIV prevalence,2022,"Adams County, IL",17001,41,75.6
HIV prevalence,2022,"Adams County, IN",18001,8,28.7
HIV prevalence,2022,"Adams County, MS",28001,139,569.3
HIV prevalence,2022,"Adams County, ND",38001,0,0.0
HIV prevalence,2022,"Adams County, NE",31001,9,35.0
HIV prevalence,2022,"Adams County, OH",39001,20,87.4
HIV prevalence,2022,"Adams County, PA",42001,195,212.3
HIV prevalence,2022,"Adams County, WA",53001,17,108.0
HIV prevalence,2022,"Adams County, WI",55001,21,108.4
HIV prevalence,2022,"Addison County, VT",50001,16,47.9
HIV prevalence,2022,"Adjuntas Municipio, PR",72001,36,228.3
HIV prevalence,2022,"Aguada Municipio, PR",72003,61,181.0
HIV prevalence,2022,"Aguadilla Municipio, PR",72005,173,361.4
HIV prevalence,2022,"Aguas Buenas Municipio, PR",72007,74,352.3
HIV prevalence,2022,"Aibonito Municipio, PR",72009,64,293.0
HIV prevalence,2022,"Aiken County, SC",45003,477,322.1
HIV prevalence,2022,"Aitkin County, MN",27001,5,34.4
HIV prevalence,2022,"Alachua County, FL",12001,"1,032",416.2
HIV prevalence,2022,"Alamance County, NC",37001,515,345.0
HIV prevalence,2022,"Alameda County, CA",6001,"5,968",426.2
HIV prevalence,2022,"Alamosa County, CO",8003,27,196.1
HIV prevalence,2022,"Albany County, NY",36001,"1,139",413.2
HIV prevalence,2022,"Albany County, WY",56001,13,38.2
HIV prevalence,2022,"Albemarle County, VA",51003,216,218.1
HIV prevalence,2022,"Alcona County, MI",26001,5,52.8
HIV prevalence,2022,"Alcorn County, MS",28003,51,176.4
HIV prevalence,2022,"Aleutians East Borough, AK",2013,Data suppressed,Data suppressed
HIV prevalence,2022,"Aleutians West Census Area, AK",2016,Data suppressed,Data suppressed
HIV prevalence,2022,"Alexander County, IL",17003,22,532.0
HIV prevalence,2022,"Alexander County, NC",37003,51,162.5
HIV prevalence,2022,"Alexandria City, VA",51510,"1,092",818.6
HIV prevalence,2022,"Alfalfa County, OK",40003,22,447.4
HIV prevalence,2022,"Alger County, MI",26003,8,101.7
HIV prevalence,2022,"Allamakee County, IA",19005,Data suppressed,Data suppressed
HIV prevalence,2022,"Allegan County, MI",26005,146,143.5
HIV prevalence,2022,"Allegany County, MD",24001,180,306.0
HIV prevalence,2022,"Allegany County, NY",36003,31,77.0
HIV prevalence,2022,"Alleghany County, NC",37005,7,71.0
HIV prevalence,2022,"Alleghany County, VA",51005,13,100.5
HIV prevalence,2022,"Allegheny County, PA",42003,"3,132",292.8
HIV prevalence,2022,"Allen County, IN",18003,623,194.1
HIV prevalence,2022,"Allen County, KS",20001,13,123.3
HIV prevalence,2022,"Allen County, KY",21003,12,67.2
HIV prevalence,2022,"Allen County, OH",39003,168,199.0
HIV prevalence,2022,"Allen Parish, LA",22003,214,1147.6
HIV prevalence,2022,"Allendale County, SC",45005,44,675.9
HIV prevalence,2022,"Alpena County, MI",26007,10,39.9
HIV prevalence,2022,"Alpine County, CA",6003,Data suppressed,Data suppressed
HIV prevalence,2022,"Amador County, CA",6005,181,490.1
HIV prevalence,2022,"Amelia County, VA",51007,15,131.3
HIV prevalence,2022,"Amherst County, VA",51009,51,188.6
HIV prevalence,2022,"Amite County, MS",28005,27,250.0
HIV prevalence,2022,"Anchorage Municipality, AK",2020,Data suppressed,Data suppressed
HIV prevalence,2022,"Anderson County, KS",20003,8,124.5
HIV prevalence,2022,"Anderson County, KY",21005,24,117.9
HIV prevalence,2022,"Anderson County, SC",45007,373,211.0
HIV prevalence,2022,"Anderson County, TN",47001,85,126.2
HIV prevalence,2022,"Anderson County, TX",48001,288,583.9
HIV prevalence,2022,"Andrew County, MO",29003,13,85.7
HIV prevalence,2022,"Andrews County, TX",48003,20,140.5
HIV prevalence,2022,"Androscoggin County, ME",23001,160,165.1
HIV prevalence,2022,"Angelina County, TX",48005,193,269.6
HIV prevalence,2022,"Anne Arundel County, MD",24003,"1,486",298.4
