Indicator,Year,Geography,fips,Cases,Percent
HIV viral suppression,2022,"Abbeville County, SC",45001,32,66.7
HIV viral suppression,2022,"Acadia Parish, LA",22001,93,71.0
HIV viral suppression,2022,"Accomack County, VA",51001,78,69.6
HIV viral suppression,2022,"Ada County, ID",16001,Data not available,Data not available
HIV viral suppression,2022,"Adair County, IA",19001,Data suppressed,Data suppressed
HIV viral suppression,2022,"Adair County, KY",21001,20,100.0
HIV viral suppression,2022,"Adair County, MO",29001,19,63.3
HIV viral suppression,2022,"Adair County, OK",40001,10,66.7
HIV viral suppression,2022,"Adams County, CO",8001,760,60.6
HIV viral suppression,2022,"Adams County, IA",19003,0,0.0
HIV viral suppression,2022,"Adams County, ID",16003,Data not available,Data not available
HIV viral suppression,2022,"Adams County, IL",17001,32,82.1
HIV viral suppression,2022,"Adams County, IN",18001,7,100.0
HIV viral suppression,2022,"Adams County, MS",28001,8,7.2
HIV viral suppression,2022,"Adams County, ND",38001,0,0.0
HIV viral suppression,2022,"Adams County, NE",31001,5,71.4
HIV viral suppression,2022,"Adams County, OH",39001,11,57.9
HIV viral suppression,2022,"Adams County, PA",42001,134,70.5
HIV viral suppression,2022,"Adams County, WA",53001,7,50.0
HIV viral suppression,2022,"Adams County, WI",55001,9,42.9
HIV viral suppression,2022,"Addison County, VT",50001,2,20.0
HIV viral suppression,2022,"Adjuntas Municipio, PR",72001,Data not available,Data not available
HIV viral suppression,2022,"Aguada Municipio, PR",72003,Data not available,Data not available
HIV viral suppression,2022,"Aguadilla Municipio, PR",72005,Data not available,Data not available
HIV viral suppression,2022,"Aguas Buenas Municipio, PR",72007,Data not available,Data not available
HIV viral suppression,2022,"Aibonito Municipio, PR",72009,Data not available,Data not available
HIV viral suppression,2022,"Aiken County, SC",45003,238,50.4
HIV viral suppression,2022,"Aitkin County, MN",27001,4,80.0
HIV viral suppression,2022,"Alachua County, FL",12001,755,75.0
HIV viral suppression,2022,"Alamance County, NC",37001,342,68.8
