fips,uninsured_pct,poverty_pct,access_risk_score,uninsured_pct_rank,poverty_pct_rank,county_name,hiv_prev_rate_per_100k,viral_suppression_pct,need_rank,access_rank,gap_score
01001,7.4,8.3,0.42147734326505276,0.4267535692116698,0.41620111731843573,"Autauga County, AL",224.1,47.7,0.6986994219653179,0.3744580924855491,0.5365787572254335
01003,9.3,7.0,0.4377715704531347,0.58504034761018,0.2905027932960894,"Baldwin County, AL",168.5,58.7,0.5809248554913294,0.3930635838150289,0.4869942196531792
01005,10.7,20.8,0.8066418373680944,0.6790813159528243,0.9342023587833643,"Barbour County, AL",509.7,57.4,0.9302745664739884,0.8890895953757225,0.9096820809248555
01007,8.4,16.3,0.6867628801986344,0.5128801986343886,0.8606455617628802,"Bibb County, AL",322.8,63.2,0.8211705202312138,0.7382586705202312,0.7797145953757225
01009,10.2,10.2,0.6068435754189945,0.643699565487275,0.5699875853507138,"Blount County, AL",97.9,57.8,0.3332731213872832,0.6235549132947977,0.4784140173410405
01011,12.2,22.1,0.8579298572315333,0.7662942271880819,0.9495654872749845,"Bullock County, AL",793.9,67.2,0.979407514450867,0.9328034682080925,0.9561054913294798
01013,11.0,17.5,0.7939944134078212,0.7001862197392924,0.8878026070763501,"Butler County, AL",323.9,47.4,0.8233381502890174,0.8742774566473989,0.848807803468208
01015,10.8,12.9,0.7146182495344506,0.6849782743637493,0.7442582247051521,"Calhoun County, AL",266.0,69.8,0.759393063583815,0.7803468208092486,0.7698699421965318
01017,10.8,13.8,0.7323091247672253,0.6849782743637493,0.7796399751707014,"Chambers County, AL",394.9,76.5,0.8703034682080925,0.8041907514450867,0.8372471098265896
01019,10.2,12.3,0.6754345127250155,0.643699565487275,0.707169459962756,"Cherokee County, AL",99.6,52.2,0.3423049132947977,0.7207369942196532,0.5315209537572254
01021,11.5,11.2,0.6863749224084419,0.7310676598386096,0.6416821849782743,"Chilton County, AL",173.0,44.3,0.5948338150289018,0.7368135838150289,0.6658236994219653
01023,8.2,15.8,0.6713997517070143,0.49860335195530725,0.8441961514587213,"Choctaw County, AL",290.5,67.7,0.7915462427745664,0.7129696531791907,0.7522579479768785
01025,9.5,15.4,0.7163252638112974,0.5980757293606456,0.8345747982619491,"Clarke County, AL",188.5,63.6,0.6325867052023122,0.7841401734104047,0.7083634393063585
01027,8.1,14.3,0.6447858472998138,0.48867163252638113,0.8009000620732464,"Clay County, AL",173.2,73.7,0.5964595375722543,0.6759393063583815,0.636199421965318
01029,10.1,7.1,0.4682650527622595,0.6368715083798883,0.29965859714463067,"Cleburne County, AL",69.9,88.9,0.19219653179190752,0.4328034682080925,0.3125
01031,10.9,12.3,0.6995654872749845,0.6919615145872129,0.707169459962756,"Coffee County, AL",173.1,50.0,0.5957369942196532,0.7590317919075145,0.6773843930635839
01033,7.9,11.9,0.5786002482929857,0.47004965859714465,0.6871508379888268,"Colbert County, AL",164.4,73.7,0.5735187861271677,0.5823699421965318,0.5779443641618498
01035,8.6,11.6,0.5990068280571075,0.5291744258224705,0.6688392302917443,"Conecuh County, AL",259.7,41.7,0.752528901734104,0.6127167630057804,0.6826228323699421
01037,6.2,8.0,0.34233395406579764,0.30058969584109246,0.3840782122905028,"Coosa County, AL",252.2,59.1,0.7395231213872833,0.2769147398843931,0.5082189306358382
01039,10.3,13.9,0.7171787709497206,0.6503724394785847,0.7839851024208566,"Covington County, AL",170.1,73.1,0.5865245664739884,0.7857658959537572,0.6861452312138728
01041,8.5,7.6,0.4341247672253259,0.5198634388578522,0.3483860955927995,"Crenshaw County, AL",282.7,41.9,0.778179190751445,0.38872832369942195,0.5834537572254335
01043,10.6,9.6,0.5988516449410304,0.6734947237740534,0.5242085661080075,"Cullman County, AL",108.7,51.9,0.38565751445086704,0.6119942196531792,0.49882586705202314
01045,10.0,13.7,0.7030571073867163,0.6298882681564246,0.7762259466170081,"Dale County, AL",301.9,51.9,0.8063583815028902,0.7622832369942196,0.784320809248555
01047,9.5,21.7,0.771415270018622,0.5980757293606456,0.9447548106765984,"Dallas County, AL",457.0,60.6,0.9028179190751445,0.8509754335260116,0.8768966763005781
01049,14.6,14.9,0.840782122905028,0.8609559279950342,0.8206083178150217,"Dekalb County, AL",113.0,67.7,0.4044436416184971,0.9187138728323699,0.6615787572254335
01051,8.2,8.1,0.44653941651148354,0.49860335195530725,0.39447548106765984,"Elmore County, AL",291.5,63.3,0.7938945086705202,0.4024566473988439,0.598175578034682
01053,12.3,16.2,0.814090626939789,0.771415270018622,0.8567659838609559,"Escambia County, AL",233.9,57.3,0.7142341040462428,0.8966763005780347,0.8054552023121387
01055,11.7,11.5,0.7031346989447549,0.7425512104283054,0.6637181874612043,"Etowah County, AL",244.6,67.0,0.7286849710982659,0.7626445086705202,0.7456647398843931
01057,10.1,15.9,0.7420856610800746,0.6368715083798883,0.8472998137802608,"Fayette County, AL",102.7,53.8,0.3572976878612717,0.8164739884393064,0.586885838150289
01059,12.5,13.8,0.7808814400993171,0.7821229050279329,0.7796399751707014,"Franklin County, AL",99.0,58.3,0.33815028901734107,0.8594653179190751,0.598807803468208
01061,12.1,14.3,0.7812693978895096,0.7616387337057728,0.8009000620732464,"Geneva County, AL",198.2,57.8,0.6520953757225434,0.8598265895953757,0.7559609826589595
01063,13.9,26.7,0.9033209186840472,0.8387647423960273,0.9678770949720671,"Greene County, AL",507.2,51.6,0.9284682080924855,0.9664017341040463,0.9474349710982659
01065,7.0,16.6,0.6292675356921167,0.3895096213531968,0.8690254500310366,"Hale County, AL",522.3,63.3,0.934971098265896,0.6539017341040463,0.7944364161849711
01067,9.6,11.8,0.6427684667908131,0.6045934202358784,0.680943513345748,"Henry County, AL",283.3,68.4,0.7796242774566474,0.6739523121387283,0.7267882947976878
01069,11.7,13.0,0.7460428305400373,0.7425512104283054,0.749534450651769,"Houston County, AL",424.0,53.2,0.888728323699422,0.8229768786127167,0.8558526011560694
01071,11.0,14.6,0.7559745499689634,0.7001862197392924,0.8117628801986344,"Jackson County, AL",88.3,67.5,0.2879335260115607,0.8341763005780347,0.5610549132947977
01073,9.0,11.0,0.5948168839230292,0.5623836126629422,0.6272501551831161,"Jefferson County, AL",681.4,47.2,0.9682080924855492,0.6065751445086706,0.7873916184971099
01075,7.8,9.1,0.47369646182495345,0.4612042209807573,0.4861887026691496,"Lamar County, AL",181.0,54.5,0.6159682080924855,0.4394869942196532,0.5277276011560694
01077,9.5,9.5,0.5569522036002483,0.5980757293606456,0.515828677839851,"Lauderdale County, AL",111.1,66.3,0.39739884393063585,0.5532875722543352,0.47534320809248554
01079,9.1,10.9,0.5947392923649907,0.5701427684667908,0.6193358162631906,"Lawrence County, AL",74.6,65.0,0.21423410404624277,0.6062138728323699,0.41022398843930635
01081,8.6,9.8,0.534062693978895,0.5291744258224705,0.5389509621353197,"Lee County, AL",220.1,68.0,0.6920158959537572,0.5222182080924855,0.6071170520231214
01083,8.2,7.5,0.41899441340782123,0.49860335195530725,0.3393854748603352,"Limestone County, AL",143.8,57.3,0.5133670520231214,0.3717485549132948,0.44255780346820806
01085,8.9,20.3,0.7427839851024208,0.5550900062073246,0.930477963997517,"Lowndes County, AL",543.8,64.4,0.9407514450867052,0.8182803468208093,0.8795158959537572
01087,11.1,20.2,0.818746120422098,0.7081005586592178,0.9293916821849783,"Macon County, AL",641.9,55.6,0.960621387283237,0.9010115606936416,0.9308164739884393
01089,7.8,7.7,0.4085971446306642,0.4612042209807573,0.35599006828057106,"Madison County, AL",260.3,61.6,0.7534320809248555,0.3591040462427746,0.5562680635838151
01091,9.3,12.5,0.6524674115456238,0.58504034761018,0.7198944754810677,"Marengo County, AL",220.8,58.1,0.6932803468208093,0.6867774566473989,0.6900289017341041
01093,11.0,11.3,0.6746585971446306,0.7001862197392924,0.6491309745499689,"Marion County, AL",172.6,68.3,0.5941112716763006,0.7185693641618497,0.6563403179190752
01095,11.1,12.3,0.7076350093109869,0.7081005586592178,0.707169459962756,"Marshall County, AL",148.1,65.5,0.5242052023121387,0.7677023121387283,0.6459537572254335
01097,11.3,12.6,0.7233860955927995,0.7208255741775295,0.7259466170080695,"Mobile County, AL",571.7,47.9,0.9476156069364162,0.7929913294797688,0.8703034682080926
01099,11.0,16.4,0.7820453134698945,0.7001862197392924,0.8639044072004965,"Monroe County, AL",216.6,48.5,0.6860549132947977,0.8618135838150289,0.7739342485549133
01101,10.6,16.3,0.7670701427684667,0.6734947237740534,0.8606455617628802,"Montgomery County, AL",832.2,52.6,0.9812138728323699,0.8475433526011561,0.914378612716763
01103,11.0,10.7,0.6530881440099318,0.7001862197392924,0.6059900682805711,"Morgan County, AL",160.6,64.2,0.5632225433526011,0.6884031791907514,0.6258128612716762
01105,6.6,29.3,0.6580540037243948,0.3437306021104904,0.9723774053382992,"Perry County, AL",476.8,53.3,0.9129335260115607,0.6947254335260116,0.8038294797687862
01107,8.5,15.8,0.6820297951582868,0.5198634388578522,0.8441961514587213,"Pickens County, AL",319.7,61.2,0.8186416184971098,0.7303106936416185,0.7744761560693642
01109,8.9,10.4,0.5695220360024829,0.5550900062073246,0.5839540657976412,"Pike County, AL",393.6,48.2,0.8688583815028902,0.5708092485549133,0.7198338150289018
01111,8.4,16.2,0.6848230912476723,0.5128801986343886,0.8567659838609559,"Randolph County, AL",99.3,78.9,0.33959537572254334,0.7346459537572254,0.5371206647398844
01113,11.7,16.2,0.7996585971446306,0.7425512104283054,0.8567659838609559,"Russell County, AL",497.0,65.2,0.9230491329479769,0.8822254335260116,0.9026372832369942
01115,8.2,8.2,0.451893234016139,0.49860335195530725,0.40518311607697083,"St. Clair County, AL",162.5,61.5,0.568099710982659,0.4125722543352601,0.49033598265895956
01117,6.4,4.7,0.2116697703289882,0.32153941651148354,0.10180012414649287,"Shelby County, AL",175.2,51.0,0.6026011560693642,0.13764450867052022,0.3701228323699422
01119,9.7,18.1,0.7554314090626939,0.611266294227188,0.8995965238981999,"Sumter County, AL",410.6,58.3,0.8786127167630058,0.8334537572254336,0.8560332369942196
01121,9.4,16.8,0.7327746741154562,0.5917132216014898,0.8738361266294227,"Talladega County, AL",247.0,65.5,0.7322976878612717,0.805635838150289,0.7689667630057804
01123,9.5,14.4,0.7016604593420236,0.5980757293606456,0.8052451893234016,"Tallapoosa County, AL",232.7,68.9,0.7124277456647399,0.7615606936416185,0.7369942196531791
