fips,county_name,hiv_prev_rate_per_100k,uninsured_pct,poverty_pct,access_risk_score,viral_suppression_pct,gap_score
48489,"Willacy County, TX",758.4,28.3,23.4,0.9751707014276847,35.4,0.9866329479768786
12043,"Glades County, FL",977.5,20.9,18.0,0.933504034761018,50.9,0.984375
13155,"Irwin County, GA",990.5,20.9,17.4,0.9277622594661701,27.6,0.9834718208092486
13205,"Mitchell County, GA",710.5,19.4,25.0,0.9589540657976412,59.8,0.9815751445086704
13037,"Calhoun County, GA",1180.7,15.7,19.8,0.9066573556797021,75.0,0.9801300578034682
13095,"Dougherty County, GA",1138.7,15.3,21.2,0.9085195530726258,63.1,0.979949421965318
13273,"Terrell County, GA",694.9,18.2,24.9,0.9502638112973308,69.4,0.979407514450867
47095,"Lake County, TN",758.6,16.2,26.7,0.933504034761018,74.4,0.979317196531792
48389,"Reeves County, TX",1277.9,16.7,16.8,0.8935443823711979,6.8,0.9776011560693643
48163,"Frio County, TX",1331.6,14.3,20.9,0.8930012414649287,25.0,0.977510838150289
13315,"Wilcox County, GA",1038.1,16.9,16.9,0.8969584109248914,65.3,0.975614161849711
28027,"Coahoma County, MS",1025.2,13.4,30.2,0.8942427063935443,38.5,0.9745303468208093
13093,"Dooly County, GA",772.8,17.7,16.9,0.904096834264432,65.7,0.9721820809248555
13193,"Macon County, GA",585.8,23.9,21.5,0.9628336436995655,57.9,0.9720014450867052
12047,"Hamilton County, FL",1220.2,15.1,17.6,0.8822936064556176,77.4,0.9714595375722543
